key,instruction_raw,instruction_uni,level_id,sample_id,reward_enum,feature_name,sub_condition,condition_0,condition_1,condition_2,condition_3,condition_4
pk000000,The region is abundant with trees and grass.,The region is abundant with passable area.,000000,pokemon_0000,0,region,,6.0,,,,
pk000001,The region is sparse with scattered water and grass.,The passable area is sparse within open walls.,000001,pokemon_0001,0,region,,1.0,,,,
pk000002,Sparse regions are scattered across the map.,Sparse passable areas are scattered across the map.,000002,pokemon_0002,0,region,,1.0,,,,
pk000003,The region is heavily scattered with trees and objects.,The region is heavily scattered with passable areas.,000003,pokemon_0003,0,region,,4.0,,,,
pk000004,The region is limited with sparse houses.,The passable region is limited and sparse.,000004,pokemon_0004,0,region,,2.0,,,,
pk000005,Grassland is mostly open with rare objects.,Passable areas are mostly open with rare hazards.,000005,pokemon_0006,0,region,,1.0,,,,
pk000006,The region is marginal with a few enemies.,The passable area is marginal with few hazards.,000006,pokemon_0007,0,region,,1.0,,,,
pk000007,The region is marginal.,The passable region is marginal.,000007,pokemon_0008,0,region,,1.0,,,,
pk000008,The region is mostly open with rare enemies.,The region is mostly passable with rare hazards.,000008,pokemon_0009,0,region,,1.0,,,,
pk000009,The region is sparse with enemies and objects.,The passable area is sparse with hazards and collectables.,000009,pokemon_0010,0,region,,1.0,,,,
pk000010,A sparse region with few houses.,A sparse region with few passable areas.,000010,pokemon_0011,0,region,,1.0,,,,
pk000011,A limited region with scattered objects and enemy.,A limited passable region with scattered interactive and hazard tiles.,000011,pokemon_0012,0,region,,2.0,,,,
pk000012,The region has marginal trees.,The region has marginal walls.,000012,pokemon_0013,0,region,,1.0,,,,
pk000013,The region has few houses and scattered enemies.,The passable area is sparse and open.,000013,pokemon_0014,0,region,,1.0,,,,
pk000014,The region is sparse.,The passable area is sparse.,000014,pokemon_0016,0,region,,1.0,,,,
pk000015,A marginal region with scattered enemies.,A marginal passable area with scattered interactive tiles.,000015,pokemon_0017,0,region,,1.0,,,,
pk000016,A few regions are marked by houses and objects.,A few regions are marked by interactive tiles.,000016,pokemon_0018,0,region,,2.0,,,,
pk000017,The region has slight enemy activity.,The region has slight passable area.,000017,pokemon_0019,0,region,,2.0,,,,
